Character,Frequency,Word
ELAINE,3,sponges
ELAINE,2,ash's
ELAINE,1,gate
ELAINE,1,shamelessly
ELAINE,1,swooshy
ELAINE,7,cape
ELAINE,3,pull
ELAINE,1,tossing
ELAINE,1,sentences
ELAINE,1,tattooed
ELAINE,1,carlitto
ELAINE,1,year-old's
ELAINE,1,lainie
ELAINE,4,shes
ELAINE,1,optimist
ELAINE,1,joseph
ELAINE,1,suede
ELAINE,2,sidewalk
ELAINE,2,schwinn
ELAINE,1,torture
ELAINE,4,blame
ELAINE,54,away
ELAINE,2,eats
ELAINE,1,resentment
ELAINE,5,homeless
ELAINE,7,sub
ELAINE,1,editor-in-chief
ELAINE,1,surprising
ELAINE,3,annoying
ELAINE,2,dear
ELAINE,1,psycho
ELAINE,44,called
ELAINE,8,kinda
ELAINE,1,gail's
ELAINE,1,eyeing
ELAINE,1,sarcasm]
ELAINE,2,stealing
ELAINE,1,armani
ELAINE,1,circumstantial
ELAINE,1,chip
ELAINE,149,an
ELAINE,21,parents
ELAINE,1,greenpeace
ELAINE,1,somethings
ELAINE,1,living-room
ELAINE,1,shattered
ELAINE,2,gasket
ELAINE,1,like--
ELAINE,2,sip
ELAINE,2,dental
ELAINE,1,cabin's
ELAINE,1,blabs
ELAINE,2,mechanical
ELAINE,2,regifter
ELAINE,1,yourselves
ELAINE,1,halfway
ELAINE,1,audible
ELAINE,1,aid
ELAINE,30,date
ELAINE,5,white
ELAINE,6,family
ELAINE,1,hardest
ELAINE,2,you's
ELAINE,3,bags
ELAINE,2,lesson
ELAINE,1,picketing
ELAINE,1,fruits
ELAINE,3,apply
ELAINE,10,georgie
ELAINE,2,cabin
ELAINE,1,grope
ELAINE,1,bird-face
ELAINE,1,extraordinary
ELAINE,1,burn
ELAINE,1,convert
ELAINE,9,early
ELAINE,1,ouch
ELAINE,1,chipped
ELAINE,2,oswald
ELAINE,2,wha-
ELAINE,3,none
ELAINE,35,hair
ELAINE,2,exposed
ELAINE,1,merlin
ELAINE,8,idiot
ELAINE,3,recorder
ELAINE,1,martone
ELAINE,1,switch
ELAINE,7,signal
ELAINE,1,giants
ELAINE,1,integrity
ELAINE,81,into
ELAINE,671,me
ELAINE,1,appel
ELAINE,1,appartment
ELAINE,1,neuritis
ELAINE,2,yye
ELAINE,11,health
ELAINE,1,lloyd's
ELAINE,1,slide
ELAINE,1,views
ELAINE,1,charges
ELAINE,1,drab
ELAINE,1,sheila
ELAINE,1,dementia
ELAINE,1,forcing
ELAINE,1,dumbbells
ELAINE,1,neighbour
ELAINE,2,affairs
ELAINE,1,turn-off
ELAINE,9,indicating
ELAINE,6,squares
ELAINE,11,surprise
ELAINE,1,exotic
ELAINE,5,hallway
ELAINE,10,hurt
ELAINE,1,'owen
ELAINE,1,positions
ELAINE,1,danger
ELAINE,6,hurry
ELAINE,2,tomarrow
ELAINE,2,cups
ELAINE,3,tuscany
ELAINE,2,introduce
ELAINE,5,staring
ELAINE,1,[gives
ELAINE,1,would've
ELAINE,1,responses
ELAINE,1,animosity
ELAINE,1,tug-o-war
ELAINE,11,vincent
ELAINE,1,cheaper
ELAINE,1,voodoo
ELAINE,1,pecs
ELAINE,2,ipswitch
ELAINE,2,thirteen
ELAINE,1,paint
ELAINE,3,vandelay
ELAINE,1,429
ELAINE,1,distractedly
ELAINE,2,bottom
ELAINE,1,mysterious
ELAINE,1,dignity
ELAINE,2,talks
ELAINE,1,manners
ELAINE,1,tony's
ELAINE,1,altons
ELAINE,6,pulls
ELAINE,2,sad
ELAINE,1,ryan
ELAINE,87,too
ELAINE,1,chelios
ELAINE,1,build
ELAINE,1,recahes
ELAINE,2,topic
ELAINE,5,road
ELAINE,1,stats
ELAINE,2,swan
ELAINE,2,plate
ELAINE,1,alright--would
ELAINE,1,78th
ELAINE,5,west
ELAINE,1,manufactures
ELAINE,1,asprin
ELAINE,1,modest
ELAINE,7,trip
ELAINE,1,190
ELAINE,1,spoils
ELAINE,18,bring
ELAINE,4,gay
ELAINE,12,turn
ELAINE,4,gesture
ELAINE,2,wood
ELAINE,14,cold
ELAINE,19,best
ELAINE,1,'if
ELAINE,1,fa
ELAINE,1,juicy
ELAINE,1,absorbed
ELAINE,1,whining
ELAINE,1,roommates
ELAINE,1,grip
ELAINE,1,hero
ELAINE,1,ledge
ELAINE,1,[waves
ELAINE,1,9-
ELAINE,1,cord
ELAINE,2,filing
ELAINE,3,pik
ELAINE,1,lifetime
ELAINE,1,factories
ELAINE,1,hellllloo
ELAINE,16,six
ELAINE,2,bust
ELAINE,20,few
ELAINE,1,rolls
ELAINE,3,heal
ELAINE,17,probably
ELAINE,1,scones
ELAINE,1,referring
ELAINE,9,popcorn
ELAINE,2,dancin'
ELAINE,1,xerox
ELAINE,2,allow
ELAINE,8,tickets
ELAINE,1,wanders
ELAINE,5,heads
ELAINE,1,o'gimpy
ELAINE,1,entrate
ELAINE,1,gyro
ELAINE,1,uuhhh
ELAINE,1,wigs
ELAINE,4,ruin
ELAINE,3,pool
ELAINE,7,butt
ELAINE,1,sticker
ELAINE,1,diapers
ELAINE,66,phone
ELAINE,1,posing
ELAINE,1,stale
ELAINE,5,dad
ELAINE,1,businessmen
ELAINE,8,engaged
ELAINE,15,aren't
ELAINE,6,single
ELAINE,1,raccoon
ELAINE,4,loves
ELAINE,7,short
ELAINE,1,spaghetti
ELAINE,5,anywhere
ELAINE,2,might've
ELAINE,20,deal
ELAINE,1,regarding
ELAINE,2,bumper
ELAINE,1,cement
ELAINE,1,deliverance
ELAINE,1,going'
ELAINE,4,board
ELAINE,2,robbing
ELAINE,1,attraction
ELAINE,1,sounding
ELAINE,3,dentist
ELAINE,2,advantage
ELAINE,4,invited
ELAINE,1,zone
ELAINE,2,vomits
ELAINE,1,disappointment
ELAINE,1,customer
ELAINE,16,glass
ELAINE,2,also
ELAINE,1,minelli
ELAINE,1,appreciably]
ELAINE,1,cabbie
ELAINE,8,drake
ELAINE,1,bug
ELAINE,1,storms
ELAINE,2,zaius
ELAINE,1,for-forget
ELAINE,2,glory
ELAINE,1,typing
ELAINE,1,awe
ELAINE,2,85
ELAINE,10,tries
ELAINE,3,remembers
ELAINE,1,styles
ELAINE,1,squirrels
ELAINE,1,oooohhhhaaa
ELAINE,10,pain
ELAINE,1,140
ELAINE,1,harder
ELAINE,9,clothes
ELAINE,2,pharmacist
ELAINE,2,tow
