Character,Frequency,Word
ELAINE,27,lippman
ELAINE,6,tennis
ELAINE,14,yet
ELAINE,9,grabs
ELAINE,6,wonder
ELAINE,17,eh
ELAINE,42,through
ELAINE,42,three
ELAINE,15,c'mon
ELAINE,6,germs
ELAINE,13,since
ELAINE,6,pal
ELAINE,8,blah
ELAINE,7,you'd
ELAINE,17,worked
ELAINE,7,bra
ELAINE,7,sponge
ELAINE,13,along
ELAINE,56,thank
ELAINE,119,something
ELAINE,153,were
ELAINE,6,cut
ELAINE,11,s
ELAINE,8,dead
ELAINE,6,stops
ELAINE,9,saturday
ELAINE,13,smell
ELAINE,170,okay
ELAINE,18,where's
ELAINE,16,sits
ELAINE,6,sold
ELAINE,7,kid
ELAINE,240,uh
ELAINE,63,new
ELAINE,9,visit
ELAINE,70,any
ELAINE,7,boys
ELAINE,63,looking
ELAINE,19,fake
ELAINE,7,correct
ELAINE,6,clear
ELAINE,9,george's
ELAINE,73,woman
ELAINE,8,ate
ELAINE,76,getting
ELAINE,13,means
ELAINE,37,trying
ELAINE,74,maybe
ELAINE,10,waitress
ELAINE,7,happening
ELAINE,8,hitting
ELAINE,7,slow
ELAINE,30,use
ELAINE,12,fight
ELAINE,106,off
ELAINE,21,city
ELAINE,65,thought
ELAINE,17,try
ELAINE,59,other
ELAINE,6,honey
ELAINE,111,take
ELAINE,7,lucky
ELAINE,33,seen
ELAINE,14,here's
ELAINE,17,points
ELAINE,10,month
ELAINE,7,falls
ELAINE,19,smiling
ELAINE,351,up
ELAINE,7,gas
ELAINE,8,coincidence
ELAINE,10,tape
ELAINE,44,bad
ELAINE,29,dog
ELAINE,6,whats
ELAINE,1032,what
ELAINE,8,loud
ELAINE,6,TRUE
ELAINE,11,counter
ELAINE,23,eat
ELAINE,34,o
ELAINE,7,control
ELAINE,13,dating
ELAINE,256,he's
ELAINE,26,boy
ELAINE,20,puddy
ELAINE,7,died
ELAINE,8,awkward
ELAINE,16,started
ELAINE,8,apologize
ELAINE,7,appreciate
ELAINE,12,perfect
ELAINE,20,reading
ELAINE,77,or
ELAINE,19,once
ELAINE,8,aaron
ELAINE,8,definitely
ELAINE,102,these
ELAINE,16,sounds
ELAINE,376,are
ELAINE,11,sleep
ELAINE,13,upstairs
ELAINE,7,jill
ELAINE,43,pick
ELAINE,20,hundred
ELAINE,9,nah
ELAINE,15,word
ELAINE,8,greg
ELAINE,8,art
ELAINE,6,denim
ELAINE,14,easy
ELAINE,8,suddenly
ELAINE,64,happened
ELAINE,108,never
ELAINE,20,live
ELAINE,11,clears
ELAINE,8,poster
ELAINE,10,gift
ELAINE,11,clean
ELAINE,9,piece
ELAINE,14,shower
ELAINE,6,hee
ELAINE,40,being
ELAINE,6,address
ELAINE,25,mmm
ELAINE,12,playing
ELAINE,11,throat
ELAINE,28,must
ELAINE,29,tonight
ELAINE,7,charge
ELAINE,16,gettin'
ELAINE,10,world
ELAINE,22,wants
ELAINE,19,hmm
ELAINE,8,mohel
ELAINE,7,uncle
ELAINE,43,guys
ELAINE,6,bitter
ELAINE,10,fast
ELAINE,17,ugh
ELAINE,629,yeah
ELAINE,15,air
ELAINE,30,david
ELAINE,38,funny
ELAINE,66,us
ELAINE,20,goes
ELAINE,278,go
ELAINE,107,i've
ELAINE,6,cynthia
ELAINE,31,shut
ELAINE,17,haven't
ELAINE,41,couldn't
ELAINE,103,been
ELAINE,6,armoire
ELAINE,41,wouldn't
ELAINE,15,paper
ELAINE,8,opens
ELAINE,11,bed
ELAINE,123,yes
ELAINE,59,there's
ELAINE,7,notice
ELAINE,11,men
ELAINE,286,here
ELAINE,6,suitcase
ELAINE,7,shopping
ELAINE,47,face
ELAINE,73,nice
ELAINE,20,mrs
ELAINE,94,sorry
ELAINE,87,where
ELAINE,153,tell
ELAINE,141,back
ELAINE,18,kidding
ELAINE,15,ten
ELAINE,329,him
ELAINE,15,what'd
ELAINE,7,doesnt
ELAINE,9,fan
ELAINE,10,mayo
ELAINE,11,laugh
ELAINE,36,number
ELAINE,24,walk
ELAINE,6,cosmo
ELAINE,50,went
ELAINE,18,done
ELAINE,15,running
ELAINE,14,store
ELAINE,9,grab
ELAINE,7,dates
ELAINE,16,week
ELAINE,10,special
ELAINE,11,excited
ELAINE,24,person
ELAINE,28,book
ELAINE,14,conversation
ELAINE,12,wedding
ELAINE,7,stories
ELAINE,11,confused
ELAINE,7,jackie
ELAINE,36,left
ELAINE,18,morning
ELAINE,7,sunday
ELAINE,15,different
ELAINE,6,market
ELAINE,11,outside
ELAINE,18,story
ELAINE,6,seven
ELAINE,9,anybody
ELAINE,56,friend
ELAINE,13,tv
ELAINE,9,nina
ELAINE,13,note
ELAINE,28,today
ELAINE,11,full
ELAINE,9,worst
ELAINE,6,truth
ELAINE,26,wanted
ELAINE,228,you're
ELAINE,7,difficult
ELAINE,30,you've
ELAINE,29,coffee
ELAINE,15,drive
ELAINE,271,but
ELAINE,17,supposed
ELAINE,10,nose
ELAINE,6,hanging
ELAINE,6,borrow
ELAINE,6,desk
ELAINE,28,table
ELAINE,15,end
ELAINE,7,whatley
ELAINE,12,shot
ELAINE,7,yankee
ELAINE,8,[to
ELAINE,21,buy
ELAINE,6,enjoy
ELAINE,20,crazy
ELAINE,275,think
ELAINE,15,looked
ELAINE,10,gasp
ELAINE,13,cool
ELAINE,18,happy
ELAINE,19,fact
ELAINE,12,bike
ELAINE,12,open
ELAINE,7,during
ELAINE,13,keys
ELAINE,49,first
ELAINE,17,old
ELAINE,35,might
ELAINE,29,having
ELAINE,31,anyone
ELAINE,9,exits
ELAINE,9,hangs
ELAINE,20,house
ELAINE,10,nazi
ELAINE,7,pushing
ELAINE,65,work
ELAINE,7,shouldn't
ELAINE,60,talk
ELAINE,11,finally
ELAINE,7,carry
ELAINE,6,feet
ELAINE,15,d'you
ELAINE,30,show
ELAINE,27,our
ELAINE,6,wrote
ELAINE,20,gimme
ELAINE,34,second
ELAINE,6,brown
ELAINE,17,which
ELAINE,71,nothing
ELAINE,10,small
ELAINE,10,strange
ELAINE,15,building
ELAINE,171,good
ELAINE,10,possible
ELAINE,9,toe
ELAINE,16,fish
ELAINE,7,breathtaking
ELAINE,118,um
